model,task,sample_id,score,benchmark,run_id
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recCJJOeBGERaHYax,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recD8oX1KevFbl7bL,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recDDxpS9s8cwkqfq,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recDj2Y2BbtV02Wv5,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recDytVnNYZe2HuUU,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recEmTBhx2hgw6tPQ,0.125,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recFaL6j8UMhutXrc,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recG1ljJQcVy6CbSl,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recGFKDUd8qgz81Zl,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recGFNRVl1qBZGwyU,0.125,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recHVUd2DkoKfedJZ,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recI1ls9OXdxatHQn,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recIDiDKKrN61Auyr,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recIIUynGGpsGEYuo,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recIMcQfaQNa6vzsT,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recINSFEYLCyyd08m,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recIOlKBsOeEcgkA1,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recIj8lR4tuDgrHou,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recIlghoOw5VbY4Zh,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recJJcOHhFeSaRpl4,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recJZ3QEfRKjYw9a7,0.125,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recK9F5aqdaybl8bb,0.125,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recKcjTwONILZqHAX,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recKm6LNWykGapmCr,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recKv4hFyNpViUXnL,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recL9MFV5zmdlle5T,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recLAgwx9vbgB5EHk,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recLSzwBUS3olCjhl,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recLrRirj7iXoB0rU,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recN4DY9Q5V03glmQ,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recNAiPUKOulQbKVP,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recNFJjE5PPTqVJGv,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recNu3MXkvWUzHZr9,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recNuT2oSnO86bxOx,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recO3hvCWRGiG0odN,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recOYsaYs6RmtlTDy,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recOkA2zsy4GSMD9R,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recOvqPKUtyy9ISA1,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recPL4ZPpVYxgMu57,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recPSTGXK3P39yNYT,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recPzW1WqRnPs57D6,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recQ8oxSY2aCwFRS8,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recQiWOxhkXRz9NVE,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recRTiyaRymerDJ4y,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recRgabRzMaEoBRcM,0.625,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recS48OsU6kVadBPW,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recSBcGLPatKb3Ygu,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recTs7qzfJs6kfLUK,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recUBgVlkKzcRPDdK,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recUOePh79cp4T2Bg,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recV1nqYQvpII94oC,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recVEXvhYxAhELVqB,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recVvpD8miVjmmyfe,0.25,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recWPMm91mGDLXONm,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recWxGU8Q4YReJ1tb,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recWzUUYBN0NuXO2k,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recXsuOHRBLcyenF2,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recXvQ6gWAmyakrpD,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recYA3LPsCvF1fTMI,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recYOzCsevNz61Lyn,0.625,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recYt8xx80OTyDsL0,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recZ13cwgDQf9jRd9,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recZSGUkn56v9kEp1,0.625,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recZWeueB7lSPR6wN,0.25,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recZbxrocrxh9YENH,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recZdZxsN0AxDx0pB,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recZt4x514UQNnsgy,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reca44yABeO2fx7UB,0.125,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recaXdGn3FAIkxLGM,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recafnH3RRnMBXEb1,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recakFKZioXUuldcd,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recb2M22zaD3tL6Qc,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recb4cGsC6BJUCU3V,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reccOKzFNmyqeJ6ry,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reccVFW11Elovnf8T,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recclFbsjbaiVVnnV,0.25,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recdya6FuYraBU5Rh,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,receYQxnUBvxPcvbQ,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,receo3UUzRvWCqyfA,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recf6ayQmL1SxKbvW,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recgI6tUQ7RLJRWGx,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recgM7o1tcc7tP778,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recgXxEgllSGEpELP,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rechKl68Uc6H7vU0N,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rechgQucGlrnt8KRV,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rechtUKxC6G67H7Pr,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recihePFulRgNKsIn,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reciuppdQde4FGX1z,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recjJ54TXc04enRkZ,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recjgMJaMxz4ESDF2,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reck1zKeCssmN82Ga,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reck4G4xxv3YnpbtQ,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reckYqR92oJkqJXkE,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reckl6PkaEMWM50yZ,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recl1UtgTVKishAq4,0.375,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recmI7EiLv72PxmYK,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recmkvk6EFAmqyMxR,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recmwwQJnx7ll7bqL,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recn3NhOhqAPLda16,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recnGEpF1srQpaqWq,0.125,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recnTTKdBzfuoZ7w7,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recnawZPumSCLMVgp,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recnjViFrqlZNL3fY,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reco8WSc71p8zAv4q,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recooG6bivTUJpDBz,0.875,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recoy9ZLBsc7HIRBy,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recpJmTOXx6T48nDJ,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recpki12iG9RUGrz9,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recqFDvYKKRmbnoUb,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recqGD3fxPCI59vPQ,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recqLRu4BcJvlSANc,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recr3VHM4zYf6dMFY,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recrHBEJJoDTV05JR,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recrNbtgTNoabJJi6,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recrs0kUo7Ua1xhKO,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recs3PLPUEMiqg4P8,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rect4iLrSfUwkNTno,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rectXfsCM1dj4Kv2c,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rectlyG9pCAAuWhoB,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recuYEkVjdVUwA3c0,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recuyeuT5rQ6qDt8F,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recv7GsQg3f0fvB1f,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recvZlMbpPz0yLDle,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recvlnu8BuLmXZhSX,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recw4rROcnHKNZhtK,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recxTy0x7M6T9ikc0,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recxsX66ktJ1Lwt4f,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recyPffUDqC2k7ZZO,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recyl3usDqb7ruXJx,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recypVp2NmPlBKVTp,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reczQ4I0VpENdMtIj,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reczUoM8JsxU6pYxr,0.25,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reczjcMtrB1YGS2fO,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,reczzzihL7btBH7RO,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec0VuKUjt1SZ7NYv,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec1oj2DveQWl9Rpw,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec32C1ZEapBnCC0E,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec47oNPXudlTIk4y,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec6sE2CRtD4drtHg,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,rec9W28HgpEUeUN8k,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recAYkd96NNuNl1Ei,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recBhnXrUyTJ6WHIR,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recE2ihVfqEK4R9d0,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recGee5m84dg5FZkc,0.5,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recINGR1z01Fh1Z3A,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recJpyGtGIsxulevT,1.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recLB0EkQ54bYVhnd,0.75,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
anthropic/claude-sonnet-4-20250514,GPQA Diamond,recMicVBcqy1xM1jq,0.0,GPQA diamond,J9wjcQqKJ7hCSYnnoa5E9i
