model,horizon,slope,slope_method,score,loss
DeepSeekMATH-RL-7B,1.4575,0.6000,guess,0.5170,0.0061
AlphaLLM,1.4575,0.6000,guess,0.5100,0.0009
Minerva 540B,1.4575,0.6000,guess,0.5030,0.0079
MMOS-CODE-34B,1.3334,0.6000,guess,0.4950,0.0011
Llemma-34B-KPMath-Plus,1.2198,0.6000,guess,0.4860,0.0046
Shepherd + DeepSeek-67B,1.2198,0.6000,guess,0.4810,0.0004
Minerva 8B,1.2198,0.6000,guess,0.4760,0.0054
PaLM 2,1.2198,0.6000,guess,0.4880,0.0066
DeepSeekMath-7B-KPMath-Plus,1.2198,0.6000,guess,0.4880,0.0066
DART-Math-Llama3-8B-Prop2Diff,1.1159,0.6000,guess,0.4660,0.0006
Mistral-7B-KPMath-Plus,1.1159,0.6000,guess,0.4680,0.0014
DART-Math-Llama3-8B-Uniform,1.0208,0.6000,guess,0.4530,0.0011
MathCoder-CL-34B,1.0208,0.6000,guess,0.4520,0.0001
MathCoder-L-34B,1.0208,0.6000,guess,0.4510,0.0009
MMIQC-72B,1.0208,0.6000,guess,0.4500,0.0019
MMOS-CODE-7B,1.0208,0.6000,guess,0.4430,0.0089
DART-Math-Mistral-7B-Prop2Diff,1.0208,0.6000,guess,0.4550,0.0031
DART-Math-Mistral-7B-Uniform,0.9339,0.6000,guess,0.4350,0.0022
Shepherd+Mistral-7B,0.9339,0.6000,guess,0.4350,0.0022
GPT-4,0.8543,0.6000,guess,0.4250,0.0024
SFT-Mistral-7B,0.8543,0.6000,guess,0.4180,0.0046
Llama2-13B-KPMath-Plus,0.7816,0.6000,guess,0.4100,0.0018
MathCoder-CL-13B,0.5984,0.6000,guess,0.3590,0.0066
MuggleMATH-70B,0.5984,0.6000,guess,0.3560,0.0096
WizardMath-7B-V1.1,0.5008,0.6000,guess,0.3300,0.0081
Shepherd + Mistral-7B,0.5008,0.6000,guess,0.3300,0.0081
Gemini Pro,0.4581,0.6000,guess,0.3260,0.0014
MathCoder-CL-7B,0.4191,0.6000,guess,0.3020,0.0094
MuggleMATH-13B,0.4191,0.6000,guess,0.3070,0.0044
MathCoder-L-13B,0.3834,0.6000,guess,0.2990,0.0005
Qwen2idae-16x14B,0.3834,0.6000,guess,0.2990,0.0005
OpenChat-3.5-1210 7B,0.3508,0.6000,guess,0.2890,0.0032
OpenChat-3.5 7B,0.3508,0.6000,guess,0.2860,0.0002
Mixtral 8x7B,0.3508,0.6000,guess,0.2840,0.0018
MetaMath 70B,0.2935,0.6000,guess,0.2600,0.0013
MuggleMATH 7B,0.2935,0.6000,guess,0.2580,0.0033
MathCoder-L-7B,0.2457,0.6000,guess,0.2330,0.0051
WizardMath-70B-V1.0,0.2247,0.6000,guess,0.2270,0.0001
Camelidae-8×34B,0.2056,0.6000,guess,0.2260,0.0099
MetaMath 13B,0.2056,0.6000,guess,0.2250,0.0089
davinci-002 175B,0.1721,0.6000,guess,0.1910,0.0045
Branch-Train-MiX 4x7B,0.1440,0.6000,guess,0.1780,0.0018
GAL 120B,0.1205,0.6000,guess,0.1660,0.0077
LLaMA 33B-maj1@k,0.1205,0.6000,guess,0.1520,0.0063
WizardMath-13B-V1.0,0.1009,0.6000,guess,0.1400,0.0018
Mistral 7B,0.0844,0.6000,guess,0.1310,0.0044
GAL 30B,0.0844,0.6000,guess,0.1270,0.0004
GAL 30B <work>,0.0706,0.6000,guess,0.1140,0.0013
WizardMath-7B-V1.0,0.0706,0.6000,guess,0.1070,0.0057
LLaMA 65B,0.0706,0.6000,guess,0.1060,0.0067
GPT-3 175B,0.0243,0.6000,guess,0.0520,0.0011
